eventid,iyear,imonth,country_txt,region_txt,city,latitude,longitude,nkill,nwound
202101010004,2021,1,Egypt,Middle East & North Africa,Beir al-Abd,31.016779,33.008587,2,5
202101010005,2021,1,India,South Asia,Pampore,34.01023,74.917261,0,0
202101010006,2021,1,Yemen,Middle East & North Africa,Hudaydah,14.782391,42.973093,5,7
202101010009,2021,1,Afghanistan,South Asia,Feroz Koh,34.521315,65.249242,1,0
202101010024,2021,1,Somalia,Sub-Saharan Africa,Kismayo,-0.357847,42.546652,1,0
202101010025,2021,1,India,South Asia,Srinagar,34.083739,74.789903,0,0
202101020007,2021,1,India,South Asia,Tral,33.931013,75.114214,0,8
202101020009,2021,1,Somalia,Sub-Saharan Africa,Lafoole,2.099684,45.15723,6,14
202101020010,2021,1,Afghanistan,South Asia,Qala-i-Naw,34.990048,63.132541,1,0
202101020021,2021,1,Syria,Middle East & North Africa,Hasakah,36.503594,40.740627,1,25
202101030001,2021,1,Somalia,Sub-Saharan Africa,Balcad,2.359127,45.383671,2,0
202101030002,2021,1,Somalia,Sub-Saharan Africa,Balcad,2.359127,45.383671,1,8
202101030003,2021,1,Afghanistan,South Asia,Kabul,34.523842,69.140304,1,0
202101030004,2021,1,Afghanistan,South Asia,Mahmud Raqi,35.015114,69.348753,5,9
202101030005,2021,1,Afghanistan,South Asia,Ghazni,33.542623,68.41533,3,0
202101030006,2021,1,Afghanistan,South Asia,Kunduz,36.70574,68.876969,1,2
202101030007,2021,1,Afghanistan,South Asia,Mazari Sharif,36.70993,67.115696,1,0
202101030008,2021,1,Syria,Middle East & North Africa,Kafrayah,35.990087,36.677222,0,0
202101030010,2021,1,Central African Republic,Sub-Saharan Africa,Bangassou,4.746876,22.814778,5,15
202101030014,2021,1,Yemen,Middle East & North Africa,Shoqra,13.3576,45.696479,0,0
202101030019,2021,1,Yemen,Middle East & North Africa,Taizz,13.586484,44.024105,1,0
202101040002,2021,1,Afghanistan,South Asia,Jalalabad,34.41712,70.449594,2,4
202101040012,2021,1,Syria,Middle East & North Africa,Raqqah,35.951521,39.009562,0,2
202101040015,2021,1,United States,North America,Lee's Summit,38.917235,-94.381587,0,1
202101040017,2021,1,Afghanistan,South Asia,Kandahar,31.631083,65.742227,1,0
202101040019,2021,1,Syria,Middle East & North Africa,Ras al-Ain,36.847952,40.070616,2,4
202101040021,2021,1,Afghanistan,South Asia,Kabul,34.523842,69.140304,0,1
202101040022,2021,1,Somalia,Sub-Saharan Africa,Hudur,4.120602,43.890526,3,0
202101040025,2021,1,Cameroon,Sub-Saharan Africa,Kolofata,11.162543,14.013976,1,0
202101040026,2021,1,Philippines,Southeast Asia,Salman,6.833379,124.458465,0,0
202101040027,2021,1,Yemen,Middle East & North Africa,Shoqra,13.3576,45.696479,0,0
202101040034,2021,1,Yemen,Middle East & North Africa,Hudaydah,14.782391,42.973093,0,0
202101040035,2021,1,Yemen,Middle East & North Africa,Bayt al Marui,14.793804,43.074642,0,0
202101050001,2021,1,Afghanistan,South Asia,Ghazni,33.542623,68.41533,2,5
202101050005,2021,1,Iraq,Middle East & North Africa,Jalawla,34.271035,45.163568,2,1
202101050007,2021,1,Iraq,Middle East & North Africa,Baghdad,33.303567,44.371771,0,3
202101050011,2021,1,Somalia,Sub-Saharan Africa,Mogadishu,2.059818,45.326114,1,0
202101050018,2021,1,Yemen,Middle East & North Africa,Mandar,14.727395,42.960963,0,0
202101050019,2021,1,West Bank and Gaza Strip,Middle East & North Africa,Alon Shvut,31.653435,35.125639,1,0
202101050020,2021,1,Afghanistan,South Asia,Lashkar Gah,31.600826,64.370529,0,0
202101050024,2021,1,Iraq,Middle East & North Africa,Tarmiyah,33.66969,44.381316,0,0
202101060001,2021,1,Afghanistan,South Asia,Kabul,34.523842,69.140304,1,0
202101060002,2021,1,Afghanistan,South Asia,Kabul,34.523842,69.140304,1,0
202101060003,2021,1,Afghanistan,South Asia,Ghazni,33.542623,68.41533,2,5
202101060006,2021,1,Somalia,Sub-Saharan Africa,Bacaadweyn,7.19283,47.528297,0,0
202101060007,2021,1,Somalia,Sub-Saharan Africa,Bacaadweyn,7.19283,47.528297,0,0
202101060008,2021,1,Yemen,Middle East & North Africa,Shaykh Uthman,12.86714,44.983957,0,1
202101060016,2021,1,United States,North America,Washington,38.909934,-77.014726,1,182
202101060017,2021,1,United States,North America,Washington,38.909934,-77.014726,0,0
202101060018,2021,1,United States,North America,Washington,38.909934,-77.014726,0,0
202101060023,2021,1,India,South Asia,Hazaribagh,23.996872,85.371765,0,0
202101060025,2021,1,United Kingdom,Western Europe,Londonderry,55.011561,-7.312044,0,1
202101060027,2021,1,United Kingdom,Western Europe,Londonderry,55.011561,-7.312044,0,1
202101060028,2021,1,United Kingdom,Western Europe,Londonderry,55.011561,-7.312044,0,0
202101060030,2021,1,Yemen,Middle East & North Africa,Sanaa,15.325444,44.211895,0,0
202101070001,2021,1,Afghanistan,South Asia,Puli Khumri,35.947551,68.710329,4,1
202101070003,2021,1,Afghanistan,South Asia,Khost,33.335257,69.92847,2,1
202101070004,2021,1,Afghanistan,South Asia,Kabul,34.523842,69.140304,2,0
202101070005,2021,1,Afghanistan,South Asia,Tarin Kot,32.61797,65.872373,16,19
202101070006,2021,1,Somalia,Sub-Saharan Africa,Mogadishu,2.059818,45.326114,1,5
202101070011,2021,1,Yemen,Middle East & North Africa,Shaykh Uthman,12.86714,44.983957,0,0
202101070019,2021,1,Cameroon,Sub-Saharan Africa,Kumba,4.629223,9.447531,0,0
202101070032,2021,1,Afghanistan,South Asia,Kunduz,36.70574,68.876969,5,3
202101070033,2021,1,Afghanistan,South Asia,Kunduz,36.70574,68.876969,5,2
202101080001,2021,1,Afghanistan,South Asia,Charkh Ab,36.704283,68.907605,4,3
202101080002,2021,1,Afghanistan,South Asia,Ghoryan,34.343164,61.495275,9,11
